Team,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Goals,Mean of Goals,Std of Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls90,Mean of Gls90,Std of Gls90,Median of Ast90,Mean of Ast90,Std of Ast90,Median of xG90,Mean of xG90,Std of xG90,Median of xAG90,Mean of xAG90,Std of xAG90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of G/Sh,Mean of G/Sh,Std of G/Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of Cmp% (Short),Mean of Cmp% (Short),Std of Cmp% (Short),Median of Cmp% (Medium),Mean of Cmp% (Medium),Std of Cmp% (Medium),Median of Cmp% (Long),Mean of Cmp% (Long),Std of Cmp% (Long),Median of KP,Mean of KP,Std of KP,Median of Passes 1/3,Mean of Passes 1/3,Std of Passes 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Att,Mean of Att,Std of Att,Median of Challenges Lost,Mean of Challenges Lost,Std of Challenges Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Att (TO),Mean of Att (TO),Std of Att (TO),Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of ProgC,Mean of ProgC,Std of ProgC,Median of Carries 1/3,Mean of Carries 1/3,Std of Carries 1/3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Won,Mean of Won,Std of Won,Median of Aerials Lost,Mean of Aerials Lost,Std of Aerials Lost,Median of Won%,Mean of Won%,Std of Won%
West Ham,28.348,28.627,5.015,20.0,21.56,8.53,14.0,15.4,10.863,1070.0,1381.52,914.389,0.0,1.48,2.6,1.0,0.96,1.513,2.0,2.96,2.653,0.0,0.12,0.332,1.2,1.776,2.255,1.1,1.26,1.404,11.0,22.92,30.37,31.0,45.0,41.312,25.0,44.64,57.791,0.0,0.084,0.125,0.03,0.074,0.136,0.07,0.137,0.159,0.08,0.101,0.097,0.0,0.135,0.467,0.0,5.5,19.111,0.0,1.364,4.722,0.0,0.0,0.0,25.0,21.888,14.909,0.23,0.384,0.409,0.0,0.043,0.061,15.7,16.368,7.275,517.0,533.44,408.435,79.9,78.42,7.805,8610.0,9381.76,7369.593,89.7,88.676,6.968,85.6,83.252,10.625,53.7,54.144,15.906,9.0,12.2,12.383,37.0,39.32,33.534,4.0,10.0,12.695,1.0,2.6,3.582,19.0,30.16,30.765,2.31,2.191,1.484,1.0,2.28,3.195,0.1,0.134,0.166,17.0,23.6,20.817,11.0,14.0,12.329,21.0,19.68,15.692,8.0,9.24,7.742,14.0,16.64,13.41,4.0,6.28,8.229,9.0,10.36,8.041,8.0,12.24,14.774,668.0,830.56,599.243,39.0,107.88,177.888,196.0,304.12,314.953,366.0,355.88,288.751,118.0,178.52,184.734,23.0,30.88,38.86,11.0,28.8,45.469,45.2,47.424,22.381,45.5,37.236,21.969,321.0,421.8,318.088,714.0,1077.4,937.068,11.0,22.92,30.37,10.0,14.56,16.618,2.0,6.48,13.166,12.0,18.28,19.688,6.0,14.68,22.254,459.0,529.56,390.622,15.0,16.28,14.261,11.0,15.12,17.678,1.0,2.8,4.282,13.0,22.4,27.52,43.0,57.16,47.968,10.0,21.68,27.425,12.0,20.84,19.484,50.0,51.14,16.743
Southampton,26.986,26.985,4.226,20.0,18.655,10.379,13.0,13.241,9.84,1178.0,1184.31,856.237,0.0,0.828,1.071,0.0,0.517,0.829,2.0,2.862,2.949,0.0,0.103,0.409,0.5,1.072,1.388,0.5,0.81,0.922,10.0,20.621,26.91,24.0,36.448,39.458,20.0,35.345,38.706,0.0,0.051,0.076,0.0,0.043,0.097,0.04,0.078,0.09,0.03,0.054,0.059,0.0,0.249,0.748,0.0,6.979,20.922,0.0,0.255,1.374,0.0,0.986,5.311,25.0,22.317,22.823,0.14,0.216,0.287,0.0,0.061,0.093,17.0,14.924,8.287,257.0,499.793,481.214,80.2,80.852,8.161,4218.0,8476.621,8576.583,90.9,89.597,7.082,89.5,85.362,10.849,55.2,51.845,19.552,5.0,8.828,9.449,13.0,32.241,39.484,5.0,7.0,7.764,1.0,1.862,2.601,15.0,20.034,20.125,1.37,1.406,0.852,1.0,1.379,1.879,0.06,0.108,0.14,13.0,20.414,19.729,7.0,11.828,11.314,13.0,18.241,14.495,10.0,9.379,7.017,8.0,13.379,14.915,2.0,5.897,9.135,5.0,7.483,8.003,5.0,9.621,12.263,457.0,726.793,636.273,42.0,93.655,170.639,161.0,265.345,322.226,198.0,313.414,308.402,131.0,154.345,149.286,15.0,21.862,20.865,6.0,22.828,32.382,42.3,42.483,29.84,42.4,38.452,29.429,253.0,406.897,363.255,599.0,1101.345,1119.563,10.0,20.621,26.91,9.0,15.241,18.795,1.0,5.103,7.589,10.0,14.931,15.028,5.0,11.138,13.765,349.0,494.345,436.349,12.0,14.759,13.429,8.0,13.655,15.765,0.0,1.517,2.627,6.0,17.621,26.859,23.0,46.0,44.261,8.0,14.621,20.917,8.0,12.655,13.743,54.5,54.452,22.802
Everton,26.543,27.984,5.032,24.0,22.409,9.287,15.0,17.455,10.649,1357.5,1565.227,904.269,1.0,1.5,2.133,1.0,1.0,1.113,3.0,3.409,2.175,0.0,0.091,0.294,1.1,1.7,2.019,1.05,1.3,1.108,12.0,20.318,20.502,40.0,43.5,35.401,24.0,42.545,40.943,0.04,0.094,0.131,0.035,0.075,0.099,0.05,0.111,0.123,0.055,0.08,0.07,0.0,0.056,0.262,0.0,3.232,15.159,0.0,1.3,6.098,0.0,4.545,21.32,33.35,29.636,24.549,0.18,0.32,0.366,0.02,0.075,0.106,16.55,15.559,7.208,428.5,465.136,348.869,73.8,70.986,17.686,7396.5,8791.273,7939.766,86.45,81.455,19.685,82.45,76.286,20.79,53.8,54.686,19.316,8.0,11.818,10.14,36.5,41.182,35.647,8.0,10.045,10.335,1.0,3.682,5.419,24.5,28.227,20.34,1.655,1.698,1.041,2.0,2.364,2.128,0.1,0.152,0.148,26.0,30.364,28.698,14.5,17.818,17.275,23.5,26.909,22.914,8.5,12.955,11.611,13.0,16.091,14.596,3.0,5.818,9.414,7.5,10.273,8.8,9.5,13.682,13.218,746.5,794.5,529.078,31.0,101.045,218.042,170.0,286.455,362.242,301.5,321.409,242.59,180.5,194.864,150.166,19.0,29.409,26.638,18.0,26.318,30.406,43.0,42.195,22.374,45.0,41.864,22.394,377.5,388.182,257.098,761.5,1027.727,843.328,12.0,19.636,20.932,10.0,14.455,11.979,2.0,5.0,7.151,12.5,21.091,20.706,11.0,15.818,14.641,439.5,459.5,287.87,15.0,17.864,14.021,14.0,15.227,12.969,1.0,3.455,6.33,6.5,28.273,37.027,56.0,62.136,48.44,10.5,24.909,29.66,15.0,23.227,23.89,48.8,45.318,21.229
Manchester City,26.698,27.006,4.914,23.0,19.88,8.974,17.0,15.36,8.626,1494.0,1381.36,766.282,1.0,2.64,4.415,0.0,1.92,2.565,2.0,2.32,1.749,0.0,0.04,0.2,1.3,2.52,4.175,1.5,2.028,2.249,35.0,41.64,45.442,64.0,70.28,60.422,26.0,69.6,78.218,0.06,0.178,0.246,0.0,0.102,0.141,0.07,0.161,0.218,0.07,0.116,0.122,0.0,0.103,0.36,0.0,5.46,18.898,0.0,2.392,8.399,0.0,0.0,0.0,29.7,27.676,22.391,0.33,0.464,0.514,0.08,0.117,0.202,16.3,14.984,7.238,676.0,793.52,591.899,87.7,86.504,6.957,10078.0,12871.28,9746.229,94.4,92.128,6.126,91.9,89.516,7.834,64.3,59.776,12.409,9.0,17.24,16.846,42.0,62.0,64.945,11.0,15.88,16.203,1.0,2.32,3.172,33.0,39.76,33.935,2.08,2.384,1.746,3.0,4.64,4.554,0.26,0.276,0.238,15.0,18.44,17.059,7.0,11.2,10.89,13.0,16.88,15.738,6.0,8.84,8.547,11.0,12.44,9.601,1.0,3.28,4.818,9.0,9.16,7.099,5.0,8.2,8.583,892.0,1033.8,699.041,39.0,78.52,139.291,197.0,241.56,242.91,331.0,447.28,395.867,324.0,353.4,278.855,22.0,48.52,51.76,21.0,29.68,41.022,44.8,44.064,28.556,35.1,34.556,24.924,590.0,664.68,466.345,1714.0,2051.96,1583.709,35.0,41.64,45.442,23.0,31.16,27.549,3.0,14.48,23.369,14.0,17.4,15.124,13.0,14.88,14.51,630.0,783.04,543.799,11.0,10.64,8.185,12.0,13.88,11.472,0.0,1.68,2.462,8.0,23.6,32.248,46.0,53.0,35.29,5.0,11.12,13.489,8.0,11.96,11.119,47.3,45.18,20.94
Leicester City,26.76,27.227,4.462,21.5,20.231,9.717,15.0,14.808,9.968,1408.0,1329.192,824.506,0.0,1.115,2.007,0.0,0.846,1.19,2.0,3.115,2.643,0.0,0.0,0.0,0.4,1.185,2.172,0.4,0.919,1.141,15.0,21.038,22.976,30.5,38.846,34.959,20.0,38.269,40.639,0.0,0.061,0.098,0.0,0.057,0.086,0.045,0.068,0.086,0.025,0.067,0.081,0.0,0.304,0.923,0.0,6.377,18.396,0.0,0.692,2.869,0.0,0.962,4.903,26.8,27.873,25.179,0.18,0.255,0.274,0.0,0.042,0.067,16.05,14.346,8.906,424.0,486.115,383.537,77.7,75.308,17.472,6483.0,8177.0,6627.497,89.05,85.454,18.77,83.0,81.554,18.821,53.2,53.562,20.582,6.0,8.5,9.437,24.0,33.962,32.362,4.5,7.231,8.529,0.5,2.192,3.93,13.5,19.538,19.018,1.255,1.278,1.002,1.0,1.846,2.395,0.065,0.119,0.145,20.5,24.923,22.87,11.0,14.577,13.848,17.5,23.923,22.221,9.5,12.308,12.129,15.0,17.115,14.426,4.0,6.769,8.199,7.5,10.346,8.85,7.5,11.308,12.129,724.0,749.192,545.093,34.0,100.769,167.918,149.0,280.538,287.75,318.0,339.923,286.916,96.5,135.308,134.942,12.5,20.538,24.384,10.5,20.615,26.371,40.3,38.708,30.545,46.3,42.635,29.021,393.0,424.538,299.385,1042.0,1047.769,777.798,13.0,19.423,22.919,7.0,12.0,12.149,2.0,4.692,6.298,12.0,15.269,14.418,7.0,10.308,12.406,436.5,477.038,343.87,12.0,13.346,10.818,10.5,11.615,9.884,0.5,2.038,4.87,6.5,20.423,27.391,39.0,49.654,38.444,10.5,16.654,17.027,14.5,17.962,16.868,49.5,43.965,24.813
Bournemouth,26.011,26.481,3.84,26.0,22.217,10.18,17.0,16.696,11.632,1670.0,1494.609,1004.394,1.0,2.348,3.588,1.0,1.696,2.055,3.0,3.87,3.079,0.0,0.087,0.288,1.1,2.683,3.577,1.1,1.809,1.874,19.0,29.87,34.653,43.0,58.478,52.052,31.0,57.652,71.612,0.03,0.135,0.18,0.04,0.1,0.115,0.08,0.181,0.202,0.1,0.128,0.149,0.0,0.141,0.376,0.0,10.435,27.583,0.0,1.957,6.526,0.0,0.0,0.0,28.6,21.757,17.729,0.15,0.538,0.65,0.06,0.052,0.057,14.8,13.743,6.794,436.0,504.783,408.761,74.3,73.93,6.576,7088.0,9147.957,7897.392,88.0,86.843,7.09,78.3,81.622,10.802,47.8,46.661,17.888,11.0,17.783,16.558,37.0,48.217,47.725,7.0,13.217,13.869,2.0,4.043,5.531,28.0,40.783,36.346,2.35,2.572,1.868,2.0,3.957,4.194,0.21,0.228,0.207,21.0,27.957,23.434,10.0,16.13,14.508,25.0,25.609,21.311,13.0,13.565,10.71,16.0,18.826,16.694,3.0,5.739,7.263,8.0,13.087,12.642,10.0,14.391,15.623,783.0,852.478,626.549,44.0,90.261,153.466,159.0,257.304,280.449,316.0,365.957,322.882,133.0,239.739,238.204,19.0,39.522,48.082,16.0,27.087,32.486,40.0,37.591,23.256,41.6,37.243,23.128,483.0,458.348,342.499,1183.0,1442.087,1300.399,19.0,29.87,34.653,17.0,21.087,20.427,1.0,9.087,16.028,18.0,23.522,21.606,8.0,14.087,17.223,435.0,499.696,370.477,16.0,20.522,17.985,10.0,15.609,13.895,0.0,2.739,5.074,10.0,32.957,41.372,59.0,73.217,57.254,20.0,23.174,21.296,22.0,24.609,20.98,46.0,48.0,20.801
Brighton,24.534,26.048,5.171,21.0,19.536,10.035,10.0,13.75,10.127,929.5,1233.821,890.993,1.0,1.964,3.0,1.0,1.321,1.611,2.0,2.679,2.597,0.0,0.107,0.315,0.75,1.911,2.644,1.0,1.321,1.399,18.5,26.357,30.014,40.0,49.786,50.208,27.0,49.464,62.594,0.045,0.121,0.149,0.035,0.092,0.131,0.09,0.129,0.119,0.085,0.102,0.078,0.0,0.078,0.326,0.0,4.989,18.373,0.0,2.436,9.935,0.0,0.0,0.0,27.4,25.396,23.114,0.225,0.302,0.309,0.04,0.07,0.089,15.4,14.764,7.106,343.0,512.143,494.044,80.55,74.325,22.341,4862.0,8729.0,9355.55,90.3,83.55,24.312,82.1,76.079,23.845,52.55,52.343,19.72,9.5,11.607,10.344,23.0,38.143,48.976,7.5,10.786,10.633,1.0,2.821,3.84,24.0,29.393,24.249,2.505,2.286,1.346,3.0,3.536,3.012,0.285,0.298,0.275,16.5,22.5,19.916,10.0,13.714,12.205,18.0,22.607,18.998,9.0,11.536,9.367,12.0,14.25,12.453,2.0,3.964,5.474,9.5,10.286,10.088,8.5,10.357,9.945,644.5,765.393,638.986,23.5,85.357,197.355,121.5,246.321,328.938,229.0,333.143,333.873,149.0,194.393,183.772,13.0,33.536,42.681,12.0,25.857,32.274,40.3,40.418,25.198,43.75,41.618,24.845,377.0,449.929,397.503,1092.0,1350.607,1443.702,18.5,25.893,30.354,16.0,18.179,18.923,2.5,8.286,15.094,10.5,18.464,19.519,5.5,10.964,12.691,417.0,504.357,437.474,11.0,14.393,12.694,8.0,13.393,14.771,1.0,1.464,1.835,9.0,21.821,28.161,40.5,52.179,45.202,12.0,16.893,18.829,10.0,15.179,15.22,49.4,45.225,25.07
Crystal Palace,27.2,27.185,3.135,30.0,24.048,10.632,19.0,18.238,12.872,1652.0,1633.048,1082.85,0.0,1.905,3.404,1.0,1.524,2.089,2.0,3.619,3.369,0.0,0.19,0.402,1.1,2.552,3.464,1.5,1.914,2.128,11.0,21.714,22.712,47.0,50.143,39.505,11.0,49.619,64.759,0.0,0.085,0.13,0.03,0.06,0.079,0.08,0.141,0.141,0.11,0.101,0.074,0.0,0.065,0.299,0.0,3.195,14.642,0.0,1.362,6.241,0.0,2.381,10.911,31.6,29.238,17.724,0.34,0.491,0.464,0.0,0.06,0.084,17.7,18.124,5.705,541.0,519.19,395.322,75.6,74.081,6.962,8735.0,9320.048,7646.461,84.5,84.29,6.462,81.1,79.824,10.532,46.7,49.957,18.587,9.0,16.143,16.227,27.0,38.714,32.311,4.0,11.952,12.749,1.0,3.048,4.376,27.0,37.667,35.417,2.0,2.207,1.503,3.0,3.619,3.427,0.15,0.173,0.166,21.0,33.143,29.935,14.0,19.619,18.893,23.0,28.333,22.051,15.0,14.143,9.906,19.0,21.048,18.018,3.0,6.143,6.909,13.0,14.905,12.891,11.0,14.238,14.484,871.0,888.333,626.868,30.0,110.667,217.52,181.0,330.524,366.737,377.0,369.238,273.537,146.0,197.095,188.125,18.0,34.429,36.306,12.0,21.286,29.93,40.0,39.886,24.81,44.6,45.686,27.665,430.0,444.762,315.462,1004.0,1094.476,800.981,11.0,21.714,22.712,10.0,15.381,14.116,1.0,5.238,7.509,16.0,21.667,21.048,13.0,14.667,14.371,533.0,514.429,354.963,12.0,18.048,16.197,19.0,17.952,15.867,1.0,3.19,4.915,11.0,26.905,32.743,64.0,72.905,54.036,17.0,22.381,22.366,19.0,28.19,25.862,43.6,41.114,18.506
Fulham,28.838,28.832,3.351,27.0,24.5,9.329,17.5,17.455,11.496,1620.5,1568.273,963.244,0.5,2.227,3.265,1.0,1.909,2.562,2.5,3.409,2.987,0.0,0.091,0.294,1.05,2.123,2.685,1.0,1.627,1.882,22.0,32.818,36.188,53.0,65.318,49.518,39.0,64.182,71.841,0.015,0.161,0.239,0.085,0.103,0.117,0.085,0.146,0.151,0.085,0.101,0.081,0.0,0.061,0.286,0.0,3.105,14.562,0.0,0.65,3.049,0.0,0.0,0.0,28.6,24.582,20.276,0.145,0.466,0.57,0.0,0.066,0.092,14.85,14.209,7.114,561.5,600.5,505.466,78.95,72.723,24.799,9158.0,10474.682,9278.001,88.5,80.314,26.784,79.65,76.277,26.225,55.75,53.782,21.674,9.5,15.727,17.414,39.5,48.182,42.46,6.0,12.909,19.275,1.0,4.227,7.322,26.5,35.864,33.585,1.995,2.228,1.725,3.0,4.0,4.375,0.17,0.217,0.206,21.5,26.773,24.144,12.0,16.182,15.136,16.5,22.227,21.666,8.5,10.955,11.713,12.0,13.455,11.338,2.0,3.409,4.171,10.0,10.045,8.638,6.5,11.136,13.562,911.0,889.909,693.591,21.5,95.5,234.343,131.0,284.273,367.023,343.0,365.182,320.371,201.0,250.273,237.662,25.5,36.545,39.667,17.5,24.955,27.84,41.9,36.75,23.131,39.65,34.082,18.475,521.0,523.227,424.746,1130.0,1423.545,1346.311,17.0,30.182,37.136,16.5,21.5,24.334,4.0,8.227,11.032,14.5,20.318,19.062,7.0,11.045,12.03,606.5,593.5,461.327,15.5,17.0,15.065,13.0,13.773,11.792,1.0,1.818,3.231,13.0,36.409,52.193,53.5,61.545,47.471,10.5,19.455,21.615,17.5,20.455,21.615,45.4,43.023,23.002
Manchester Utd,25.732,25.49,5.09,20.0,17.667,11.454,11.5,12.833,10.78,1071.0,1149.667,931.015,0.0,1.333,2.264,0.0,0.933,1.999,2.0,2.6,2.472,0.0,0.1,0.403,0.7,1.603,2.268,0.35,1.2,1.708,10.0,21.067,31.189,22.0,43.2,55.751,14.5,42.7,64.326,0.0,0.074,0.117,0.0,0.044,0.085,0.06,0.127,0.161,0.06,0.081,0.087,0.0,0.177,0.76,0.0,3.41,13.798,0.0,0.91,4.984,0.0,0.833,4.564,21.95,21.163,18.229,0.185,0.366,0.458,0.0,0.043,0.065,15.65,12.64,8.012,286.0,512.867,464.771,82.6,81.947,7.598,3685.5,8413.767,8136.407,90.9,90.26,4.878,86.55,84.873,8.864,54.85,57.907,18.436,6.0,12.2,17.307,18.0,33.933,39.778,5.0,9.933,14.694,1.0,2.2,2.929,14.5,28.267,35.942,1.83,2.165,1.441,0.5,2.2,3.916,0.015,0.117,0.207,13.0,25.1,27.823,8.5,15.133,17.011,10.0,22.033,24.512,5.0,9.933,12.225,8.0,11.6,11.181,1.0,3.267,4.785,6.0,8.333,8.668,5.0,11.467,12.722,517.0,756.267,662.117,22.5,79.2,182.869,126.5,265.833,314.014,206.0,319.6,307.21,78.0,177.867,219.138,17.0,29.033,37.528,5.5,19.5,25.457,42.2,42.91,30.875,49.1,42.09,29.39,310.0,461.833,401.044,744.5,1155.933,1107.436,10.0,21.067,31.189,9.5,14.8,18.163,1.0,7.0,15.252,9.5,15.7,17.765,4.5,11.067,13.801,385.0,508.0,438.912,9.0,12.533,11.667,7.0,11.3,11.567,0.5,2.067,3.162,6.0,19.033,35.196,31.5,53.1,51.335,8.5,14.633,15.979,10.0,15.167,17.605,49.3,46.663,22.748
Ipswich Town,26.712,26.912,3.155,18.5,18.2,9.015,11.5,12.833,9.685,984.5,1146.767,798.991,0.0,1.133,2.315,0.0,0.833,1.085,2.0,2.967,2.646,0.0,0.167,0.379,0.6,1.07,1.76,0.4,0.71,0.971,9.0,15.067,18.268,20.0,27.667,25.773,14.5,27.233,35.371,0.0,0.092,0.151,0.0,0.068,0.104,0.04,0.091,0.114,0.03,0.057,0.058,0.0,0.232,0.716,0.0,6.21,19.034,0.0,0.743,3.182,0.0,0.0,0.0,14.3,21.613,24.839,0.07,0.267,0.385,0.0,0.053,0.075,14.7,12.707,8.545,226.0,343.9,313.318,75.7,72.697,15.952,4256.5,6152.8,5653.773,87.0,84.33,17.536,84.4,79.147,18.459,48.65,43.62,19.548,4.0,8.1,11.171,18.0,26.033,29.04,3.5,4.767,6.05,0.0,1.4,2.836,13.0,18.867,21.304,1.29,1.462,1.259,1.0,1.867,2.08,0.11,0.141,0.161,11.5,17.933,16.903,8.0,10.267,9.649,10.5,18.233,17.13,6.0,9.567,9.598,8.0,13.067,14.166,2.0,5.733,9.645,5.5,7.333,7.676,5.0,9.333,9.604,438.5,572.733,474.719,28.0,93.233,134.218,127.5,237.133,255.04,163.0,225.9,216.609,96.5,116.1,124.333,10.0,17.167,21.627,7.0,18.4,27.237,39.65,31.563,23.048,41.45,31.15,21.9,224.0,281.7,226.838,597.5,770.233,634.224,8.0,14.633,18.472,6.5,9.867,11.15,1.0,4.267,7.697,11.0,16.367,21.204,4.0,10.3,14.508,255.0,339.267,287.383,8.5,13.133,14.936,7.5,11.933,11.985,0.0,1.467,2.788,6.0,14.7,28.886,39.5,43.533,36.518,7.0,16.667,22.798,14.5,16.667,18.28,50.0,50.053,28.041
